image,model,gt_count,pred_count,true_positives,false_negatives,false_positives,splits,merges,precision,recall,f1_score,PQ,RQ,SQ
cell_00009.png,maunet_wide,290,301,286,4,15,0,3,0.9501661129568106,0.9862068965517241,0.9678510998307953,0.8983261686089479,0.9678510998307953,0.9281656742095947
cell_00009.png,maunet_ensemble,290,295,287,3,8,0,1,0.9728813559322034,0.9896551724137931,0.9811965811965813,0.9062656386285766,0.9811965811965812,0.9236330986022949
cell_00010.png,unet,143,493,68,75,425,1,26,0.13793103448275862,0.4755244755244755,0.2138364779874214,0.1638192058359302,0.2138364779874214,0.7660956978797913
cell_00010.png,nnunet,143,667,31,112,636,0,11,0.046476761619190406,0.21678321678321677,0.07654320987654321,0.061202331384023034,0.07654320987654321,0.799578845500946
cell_00010.png,sac,143,11,0,143,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cell_00010.png,lstmunet,143,473,81,62,392,1,18,0.17124735729386892,0.5664335664335665,0.26298701298701305,0.19416477618279396,0.262987012987013,0.7383055686950684
cell_00010.png,maunet_resnet50,143,218,94,49,124,0,21,0.43119266055045874,0.6573426573426573,0.5207756232686981,0.43675151227914066,0.5207756232686981,0.8386558294296265
cell_00010.png,maunet_wide,143,346,78,65,268,0,21,0.2254335260115607,0.5454545454545454,0.31901840490797545,0.2687614549157078,0.31901840490797545,0.8424637913703918
cell_00010.png,maunet_ensemble,143,112,101,42,11,2,21,0.9017857142857143,0.7062937062937062,0.792156862745098,0.6714710497388653,0.792156862745098,0.847649097442627
cell_00011.png,unet,15,17,15,0,2,0,0,0.8823529411764706,1.0,0.9375,0.7280702702701092,0.9375,0.7766082882881165
cell_00011.png,nnunet,15,77,15,0,62,0,0,0.19480519480519481,1.0,0.32608695652173914,0.2734661361445551,0.32608695652173914,0.8386294841766357
cell_00011.png,sac,15,498,1,14,497,0,0,0.002008032128514056,0.06666666666666667,0.003898635477582846,0.002368835910254287,0.003898635477582846,0.6076064109802246
cell_00011.png,lstmunet,15,3164,14,1,3150,0,0,0.004424778761061947,0.9333333333333333,0.008807801195344448,0.0076076357422402985,0.008807801195344448,0.8637383580207825
cell_00011.png,maunet_resnet50,15,18,15,0,3,0,0,0.8333333333333334,1.0,0.9090909090909091,0.7677281444722955,0.9090909090909091,0.8445009589195251
cell_00011.png,maunet_wide,15,16,15,0,1,0,0,0.9375,1.0,0.967741935483871,0.8697636665836458,0.967741935483871,0.8987557888031006
cell_00011.png,maunet_ensemble,15,16,15,0,1,0,0,0.9375,1.0,0.967741935483871,0.8359965009074057,0.967741935483871,0.8638630509376526
cell_00012.png,unet,252,347,30,222,317,0,10,0.08645533141210375,0.11904761904761904,0.1001669449081803,0.0759771869258212,0.1001669449081803,0.7585055828094482
cell_00012.png,nnunet,252,456,30,222,426,0,14,0.06578947368421052,0.11904761904761904,0.0847457627118644,0.057173553159681416,0.0847457627118644,0.6746479272842407
cell_00012.png,sac,252,341,3,249,338,0,6,0.008797653958944282,0.011904761904761904,0.010118043844856662,0.0052428432499980445,0.01011804384485666,0.5181676745414734
cell_00012.png,lstmunet,252,1277,43,209,1234,3,43,0.033672670321064996,0.17063492063492064,0.05624591236102028,0.03760034917927474,0.05624591236102027,0.668499231338501
cell_00012.png,maunet_resnet50,252,236,81,171,155,2,21,0.3432203389830508,0.32142857142857145,0.33196721311475413,0.2620935554875702,0.3319672131147541,0.7895163893699646
cell_00012.png,maunet_wide,252,380,79,173,301,1,33,0.20789473684210527,0.3134920634920635,0.25,0.19436120986938477,0.25,0.7774448394775391
cell_00012.png,maunet_ensemble,252,145,104,148,41,2,25,0.7172413793103448,0.4126984126984127,0.5239294710327456,0.4180465837569921,0.5239294710327456,0.797906219959259
cell_00013.tiff,unet,33,21,12,21,9,0,6,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.3640316857231988,0.4444444444444444,0.8190712928771973
cell_00013.tiff,nnunet,33,41,9,24,32,0,4,0.21951219512195122,0.2727272727272727,0.24324324324324323,0.1795805918203818,0.24324324324324326,0.7382757663726807
cell_00013.tiff,sac,33,135,2,31,133,0,1,0.014814814814814815,0.06060606060606061,0.02380952380952381,0.013315447739192417,0.023809523809523808,0.5592488050460815
cell_00013.tiff,lstmunet,33,56,12,21,44,0,4,0.21428571428571427,0.36363636363636365,0.2696629213483146,0.19268148936582416,0.2696629213483146,0.7145271897315979
cell_00013.tiff,maunet_resnet50,33,33,17,16,16,0,0,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.3689803752032193,0.5151515151515151,0.7162560224533081
cell_00013.tiff,maunet_wide,33,43,18,15,25,0,0,0.4186046511627907,0.5454545454545454,0.47368421052631576,0.3600415838392157,0.47368421052631576,0.760087788105011
cell_00013.tiff,maunet_ensemble,33,22,17,16,5,0,4,0.7727272727272727,0.5151515151515151,0.6181818181818182,0.5069302363829179,0.6181818181818182,0.8200342059135437
cell_00014.tiff,unet,24,14,7,17,7,0,0,0.5,0.2916666666666667,0.3684210526315789,0.3045320824572914,0.3684210526315789,0.8265870809555054
cell_00014.tiff,nnunet,24,27,9,15,18,1,2,0.3333333333333333,0.375,0.35294117647058826,0.2841844208100263,0.35294117647058826,0.8051891922950745
cell_00014.tiff,sac,24,157,1,23,156,0,0,0.006369426751592357,0.041666666666666664,0.011049723756906079,0.0065378971521367025,0.011049723756906077,0.5916796922683716
cell_00014.tiff,lstmunet,24,84,10,14,74,0,0,0.11904761904761904,0.4166666666666667,0.18518518518518517,0.1331387956937154,0.18518518518518517,0.7189494967460632
cell_00014.tiff,maunet_resnet50,24,25,13,11,12,0,0,0.52,0.5416666666666666,0.5306122448979592,0.37265271799904964,0.5306122448979592,0.7023070454597473
cell_00014.tiff,maunet_wide,24,38,16,8,22,0,0,0.42105263157894735,0.6666666666666666,0.5161290322580646,0.3719131715836063,0.5161290322580645,0.7205817699432373
cell_00014.tiff,maunet_ensemble,24,20,17,7,3,0,2,0.85,0.7083333333333334,0.7727272727272727,0.5882910192012787,0.7727272727272727,0.761317789554596
cell_00015.png,unet,16,18,16,0,2,0,0,0.8888888888888888,1.0,0.9411764705882353,0.8078016393324908,0.9411764705882353,0.8582892417907715
cell_00015.png,nnunet,16,209,16,0,193,0,0,0.07655502392344497,1.0,0.14222222222222222,0.12617440117730036,0.14222222222222222,0.8871637582778931
cell_00015.png,sac,16,332,0,16,332,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cell_00015.png,lstmunet,16,602,16,0,586,0,0,0.026578073089700997,1.0,0.05177993527508091,0.0458535253037141,0.05177993527508091,0.8855462074279785
cell_00015.png,maunet_resnet50,16,18,16,0,2,0,0,0.8888888888888888,1.0,0.9411764705882353,0.7939511467428768,0.9411764705882353,0.8435730934143066
cell_00015.png,maunet_wide,16,17,16,0,1,0,0,0.9411764705882353,1.0,0.9696969696969697,0.8816581494880446,0.9696969696969697,0.9092099666595459
cell_00015.png,maunet_ensemble,16,17,16,0,1,0,0,0.9411764705882353,1.0,0.9696969696969697,0.8464155486135772,0.9696969696969697,0.8728660345077515
cell_00016.tiff,unet,27,16,4,23,12,0,3,0.25,0.14814814814814814,0.18604651162790697,0.13912036807038064,0.18604651162790697,0.7477719783782959
cell_00016.tiff,nnunet,27,29,6,21,23,0,6,0.20689655172413793,0.2222222222222222,0.2142857142857143,0.1596391669341496,0.21428571428571427,0.7449827790260315
cell_00016.tiff,sac,27,115,2,25,113,0,3,0.017391304347826087,0.07407407407407407,0.028169014084507046,0.015684490472498074,0.028169014084507043,0.5567994117736816
cell_00016.tiff,lstmunet,27,74,8,19,66,0,3,0.10810810810810811,0.2962962962962963,0.15841584158415842,0.10415290605903853,0.15841584158415842,0.6574652194976807
cell_00016.tiff,maunet_resnet50,27,24,16,11,8,0,0,0.6666666666666666,0.5925925925925926,0.627450980392157,0.417394525864545,0.6274509803921569,0.6652225255966187
cell_00016.tiff,maunet_wide,27,25,14,13,11,0,1,0.56,0.5185185185185185,0.5384615384615384,0.4077765483122605,0.5384615384615384,0.7572993040084839
cell_00016.tiff,maunet_ensemble,27,16,12,15,4,0,5,0.75,0.4444444444444444,0.5581395348837209,0.42535476906355035,0.5581395348837209,0.7620939612388611
cell_00017.png,unet,22,27,22,0,5,0,0,0.8148148148148148,1.0,0.8979591836734693,0.697257747455519,0.8979591836734694,0.7764915823936462
cell_00017.png,nnunet,22,233,22,0,211,0,0,0.0944206008583691,1.0,0.17254901960784316,0.14321471663082347,0.17254901960784313,0.8299943804740906
cell_00017.png,sac,22,412,0,22,412,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cell_00017.png,lstmunet,22,4013,21,1,3992,0,0,0.00523299277348617,0.9545454545454546,0.010408921933085501,0.009397094932187445,0.010408921933085501,0.9027923345565796
cell_00017.png,maunet_resnet50,22,32,22,0,10,0,0,0.6875,1.0,0.8148148148148148,0.7069258734031959,0.8148148148148148,0.8675908446311951
cell_00017.png,maunet_wide,22,27,21,1,6,0,0,0.7777777777777778,0.9545454545454546,0.8571428571428572,0.7892318282808576,0.8571428571428571,0.9207704663276672
cell_00017.png,maunet_ensemble,22,23,22,0,1,0,0,0.9565217391304348,1.0,0.9777777777777777,0.8613886356353759,0.9777777777777777,0.8809656500816345
cell_00018.tiff,unet,39,34,7,32,27,0,2,0.20588235294117646,0.1794871794871795,0.19178082191780824,0.13817592026436165,0.1917808219178082,0.7204887270927429
cell_00018.tiff,nnunet,39,28,13,26,15,0,3,0.4642857142857143,0.3333333333333333,0.3880597014925373,0.27077826813085754,0.3880597014925373,0.6977747678756714
cell_00018.tiff,sac,39,143,2,37,141,0,3,0.013986013986013986,0.05128205128205128,0.02197802197802198,0.014134189584753017,0.02197802197802198,0.6431056261062622
cell_00018.tiff,lstmunet,39,80,27,12,53,0,3,0.3375,0.6923076923076923,0.45378151260504196,0.33021217935225544,0.453781512605042,0.727689802646637
cell_00018.tiff,maunet_resnet50,39,46,27,12,19,0,1,0.5869565217391305,0.6923076923076923,0.6352941176470588,0.48025432053734274,0.6352941176470588,0.7559558749198914
cell_00018.tiff,maunet_wide,39,59,30,9,29,0,2,0.5084745762711864,0.7692307692307693,0.6122448979591837,0.47856119214272014,0.6122448979591837,0.7816499471664429
cell_00018.tiff,maunet_ensemble,39,30,29,10,1,0,2,0.9666666666666667,0.7435897435897436,0.8405797101449275,0.6731065926344498,0.8405797101449275,0.8007647395133972
cell_00019.tiff,unet,12,15,6,6,9,0,2,0.4,0.5,0.4444444444444445,0.3014034960005018,0.4444444444444444,0.6781578660011292
cell_00019.tiff,nnunet,12,21,9,3,12,0,1,0.42857142857142855,0.75,0.5454545454545454,0.3840967850251631,0.5454545454545454,0.7041774392127991
cell_00019.tiff,sac,12,75,0,12,75,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cell_00019.tiff,lstmunet,12,34,4,8,30,0,0,0.11764705882352941,0.3333333333333333,0.1739130434782609,0.11953882549120032,0.17391304347826086,0.6873482465744019
cell_00019.tiff,maunet_resnet50,12,12,5,7,7,0,0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.2922945966323217,0.4166666666666667,0.701507031917572
cell_00019.tiff,maunet_wide,12,18,7,5,11,0,0,0.3888888888888889,0.5833333333333334,0.4666666666666666,0.3418926994005839,0.4666666666666667,0.7326272130012512
cell_00019.tiff,maunet_ensemble,12,11,9,3,2,0,0,0.8181818181818182,0.75,0.7826086956521738,0.5984430002129596,0.782608695652174,0.7646771669387817
cell_00020.tiff,unet,34,34,9,25,25,0,2,0.2647058823529412,0.2647058823529412,0.2647058823529412,0.2104284167289734,0.2647058823529412,0.7949517965316772
cell_00020.tiff,nnunet,34,36,15,19,21,0,3,0.4166666666666667,0.4411764705882353,0.42857142857142855,0.3026829191616603,0.42857142857142855,0.7062601447105408
cell_00020.tiff,sac,34,83,0,34,83,0,2,0.0,0.0,0.0,0.0,0.0,0.0
cell_00020.tiff,lstmunet,34,91,16,18,75,1,0,0.17582417582417584,0.47058823529411764,0.256,0.18014303588867187,0.256,0.7036837339401245
cell_00020.tiff,maunet_resnet50,34,46,13,21,33,0,0,0.2826086956521739,0.38235294117647056,0.325,0.22081229239702224,0.325,0.6794224381446838
cell_00020.tiff,maunet_wide,34,50,18,16,32,0,0,0.36,0.5294117647058824,0.42857142857142855,0.3240888885089329,0.42857142857142855,0.7562074065208435
cell_00020.tiff,maunet_ensemble,34,27,20,14,7,1,2,0.7407407407407407,0.5882352941176471,0.6557377049180328,0.5012361338881195,0.6557377049180327,0.7643851041793823
cell_00021.tiff,unet,34,34,11,23,23,0,3,0.3235294117647059,0.3235294117647059,0.3235294117647059,0.21822496196802926,0.3235294117647059,0.6745135188102722
