model,image,false_negative_count,false_positive_count,under_segmentation_count,over_segmentation_count,false_negative_rate,false_positive_rate,under_segmentation_rate,over_segmentation_rate,boundary_f1,gt_num_cells,pred_num_cells,cell_count_error
unet,cell_00076.tif,2,8,0,0,0.1111111111111111,0.4444444444444444,0.0,0.0,0,18,24,6
unet,cell_00077.tif,30,184,2,9,0.8333333333333334,5.111111111111111,0.1111111111111111,0.25,0,36,190,154
unet,cell_00078.tif,177,94,26,21,0.9516129032258065,0.5053763440860215,0.9247311827956989,0.11290322580645161,0,186,103,-83
unet,cell_00079.tif,29,63,0,1,0.58,1.26,0.0,0.02,0,50,84,34
unet,cell_00080.tif,18,42,1,1,0.5142857142857142,1.2,0.05714285714285714,0.02857142857142857,0,35,59,24
unet,cell_00081.tif,39,66,0,3,0.5342465753424658,0.9041095890410958,0.0,0.0410958904109589,0,73,100,27
unet,cell_00082.tif,31,73,0,5,0.6078431372549019,1.4313725490196079,0.0,0.09803921568627451,0,51,93,42
unet,cell_00083.tif,29,60,0,3,0.5576923076923077,1.1538461538461537,0.0,0.057692307692307696,0,52,83,31
unet,cell_00084.tif,8,40,0,6,0.19047619047619047,0.9523809523809523,0.0,0.14285714285714285,0,42,74,32
unet,cell_00085.tif,10,40,0,6,0.2222222222222222,0.8888888888888888,0.0,0.13333333333333333,0,45,75,30
unet,cell_00086.tif,6,30,0,4,0.13953488372093023,0.6976744186046512,0.0,0.09302325581395349,0,43,67,24
unet,cell_00087.tif,13,39,0,3,0.30952380952380953,0.9285714285714286,0.0,0.07142857142857142,0,42,68,26
unet,cell_00088.tif,13,29,0,0,0.7222222222222222,1.6111111111111112,0.0,0.0,0,18,34,16
unet,cell_00089.tif,20,70,0,10,0.40816326530612246,1.4285714285714286,0.0,0.20408163265306123,0,49,99,50
unet,cell_00090.tif,10,31,0,1,0.25,0.775,0.0,0.025,0,40,61,21
unet,cell_00091.tif,18,89,0,10,0.4864864864864865,2.4054054054054053,0.0,0.2702702702702703,0,37,108,71
unet,cell_00092.tif,13,38,0,2,0.7222222222222222,2.111111111111111,0.0,0.1111111111111111,0,18,43,25
unet,cell_00093.tif,6,16,0,1,0.375,1.0,0.0,0.0625,0,16,26,10
unet,cell_00094.tif,2,12,0,1,0.14285714285714285,0.8571428571428571,0.0,0.07142857142857142,0,14,24,10
unet,cell_00095.tif,5,9,0,0,0.5,0.9,0.0,0.0,0,10,14,4
unet,cell_00096.tif,19,53,0,7,0.4222222222222222,1.1777777777777778,0.0,0.15555555555555556,0,45,79,34
unet,cell_00097.tif,11,39,0,4,0.3333333333333333,1.1818181818181819,0.0,0.12121212121212122,0,33,61,28
unet,cell_00098.tif,7,21,0,3,0.2692307692307692,0.8076923076923077,0.0,0.11538461538461539,0,26,40,14
unet,cell_00099.tif,161,477,2,28,0.6822033898305084,2.0211864406779663,0.01694915254237288,0.11864406779661017,0,236,552,316
unet,cell_00100.tif,490,104,4,3,0.9959349593495935,0.21138211382113822,0.018292682926829267,0.006097560975609756,0,492,106,-386
unet,cell_00101.tif,342,4089,0,5,0.35040983606557374,4.189549180327869,0.0,0.005122950819672131,0,976,4723,3747
nnunet,cell_00001.tiff,2,7,0,2,0.3333333333333333,1.1666666666666667,0.0,0.3333333333333333,0,6,11,5
nnunet,cell_00002.png,11,73,3,7,0.3055555555555556,2.0277777777777777,0.19444444444444445,0.19444444444444445,0,36,98,62
nnunet,cell_00003.tiff,4,11,0,2,0.23529411764705882,0.6470588235294118,0.0,0.11764705882352941,0,17,24,7
nnunet,cell_00004.png,0,21,0,0,0.0,1.4,0.0,0.0,0,15,36,21
nnunet,cell_00005.png,0,16,0,0,0.0,0.5925925925925926,0.0,0.0,0,27,43,16
nnunet,cell_00006.png,4,64,3,4,0.18181818181818182,2.909090909090909,0.3181818181818182,0.18181818181818182,0,22,82,60
nnunet,cell_00007.tiff,6,36,1,7,0.5,3.0,0.16666666666666666,0.5833333333333334,0,12,42,30
nnunet,cell_00008.tiff,3,10,1,0,0.23076923076923078,0.7692307692307693,0.15384615384615385,0.0,0,13,20,7
nnunet,cell_00009.png,10,23,0,1,0.03717472118959108,0.08550185873605948,0.0,0.0037174721189591076,0,269,282,13
nnunet,cell_00010.png,53,369,1,13,0.6883116883116883,4.792207792207792,0.025974025974025976,0.16883116883116883,0,77,393,316
nnunet,cell_00011.png,0,32,0,0,0.0,2.1333333333333333,0.0,0.0,0,15,47,32
nnunet,cell_00012.png,42,283,7,10,0.7777777777777778,5.2407407407407405,0.2962962962962963,0.18518518518518517,0,54,295,241
nnunet,cell_00013.tiff,9,51,0,4,0.5294117647058824,3.0,0.0,0.23529411764705882,0,17,59,42
nnunet,cell_00014.tiff,3,31,1,4,0.3333333333333333,3.4444444444444446,0.2222222222222222,0.4444444444444444,0,9,37,28
nnunet,cell_00015.png,0,87,0,0,0.0,5.4375,0.0,0.0,0,16,103,87
nnunet,cell_00016.tiff,3,40,0,3,0.375,5.0,0.0,0.375,0,8,45,37
nnunet,cell_00017.png,0,134,0,0,0.0,6.090909090909091,0.0,0.0,0,22,156,134
nnunet,cell_00018.tiff,7,29,2,5,0.4375,1.8125,0.25,0.3125,0,16,38,22
nnunet,cell_00019.tiff,3,22,0,2,0.3333333333333333,2.4444444444444446,0.0,0.2222222222222222,0,9,28,19
nnunet,cell_00020.tiff,6,42,0,5,0.6,4.2,0.0,0.5,0,10,46,36
nnunet,cell_00021.tiff,8,26,3,3,0.5333333333333333,1.7333333333333334,0.4,0.2,0,15,33,18
nnunet,cell_00022.tiff,7,20,2,2,0.4117647058823529,1.1764705882352942,0.29411764705882354,0.11764705882352941,0,17,30,13
nnunet,cell_00023.tiff,8,58,0,9,0.42105263157894735,3.0526315789473686,0.0,0.47368421052631576,0,19,69,50
nnunet,cell_00024.tiff,5,17,1,4,0.4166666666666667,1.4166666666666667,0.16666666666666666,0.3333333333333333,0,12,24,12
nnunet,cell_00025.png,23,159,4,3,0.6571428571428571,4.542857142857143,0.22857142857142856,0.08571428571428572,0,35,171,136
nnunet,cell_00026.png,6,35,2,1,0.18181818181818182,1.0606060606060606,0.15151515151515152,0.030303030303030304,0,33,62,29
nnunet,cell_00027.tiff,21,90,1,6,0.45652173913043476,1.9565217391304348,0.043478260869565216,0.13043478260869565,0,46,115,69
